[2026-04-01T10:49:31.658Z] GET http://localhost:8767/ → 200 (5ms, 113287B)
[2026-04-01T10:49:31.667Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-04-01T10:49:31.667Z] GET http://localhost:8767/styles.css → 200 (1ms, 38007B)
[2026-04-01T10:49:31.667Z] GET http://localhost:8767/main.js → 200 (2ms, 19944B)
[2026-04-01T10:49:33.143Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → pending (?ms, ?B)
[2026-04-01T10:49:33.143Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → pending (?ms, ?B)
[2026-04-01T10:49:33.143Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → pending (?ms, ?B)
[2026-04-01T11:00:39.271Z] GET http://localhost:8767/ → 200 (2ms, 113343B)
[2026-04-01T11:00:39.278Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:00:39.278Z] GET http://localhost:8767/styles.css → 304 (?ms, ?B)
[2026-04-01T11:00:39.278Z] GET http://localhost:8767/main.js → 200 (?ms, 19944B)
[2026-04-01T11:00:39.296Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
[2026-04-01T11:00:39.296Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (1ms, ?B)
[2026-04-01T11:00:39.297Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, ?B)
[2026-04-01T11:03:59.412Z] GET http://localhost:8767/ → 200 (1ms, 113357B)
[2026-04-01T11:03:59.415Z] GET https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:opsz,wght@12..96,400;12..96,600;12..96,700;12..96,800&family=DM+Sans:ital,opsz,wght@0,9..40,300;0,9..40,400;0,9..40,500;0,9..40,600;0,9..40,700;1,9..40,400;1,9..40,500&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (?ms, 19418B)
[2026-04-01T11:03:59.416Z] GET http://localhost:8767/styles.css → 200 (?ms, 38007B)
[2026-04-01T11:03:59.416Z] GET http://localhost:8767/main.js → 200 (?ms, 19944B)
[2026-04-01T11:03:59.431Z] GET https://fonts.gstatic.com/s/bricolagegrotesque/v9/3y9K6as8bTXq_nANBjzKo3IeZx8z6up5BeSl9D4dj_x9PpZBMlGIInHWVyNJ.woff2 → 200 (?ms, ?B)
